run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,reviews_count,total_inventory,total_exact_inv,size_inventory,sizes_available,out_of_stock_sizes,is_oos,urgency_purchased,urgency_cart,urgency_wishlist,urgency_pdp,is_ad,catalog_date,position,keyword
20260321_161308,2026-03-21T16:13:08,33281220,Rigo Unisex Typography Printed Round Neck Cotton Oversized T-shirt,Rigo,Tshirts,Unisex,1599.0,448.0,72.0,4.055727481842041,323,,201,,,S,,,,,,,False,2025-03-20,25,tshirts
20260321_161308,2026-03-21T16:13:08,36964778,H&M Woman Fitted cotton T-shirt,H&M,Tshirts,Women,699.0,559.0,20.0,4.236248016357422,1727,,48,,,XXS,,,,,,,False,2025-09-11,26,tshirts
20260321_161308,2026-03-21T16:13:08,32762106,Pepe Jeans Men Crew Neck Relaxed Fit Lounge Tshirt,Pepe Jeans,Lounge Tshirts,Men,799.0,487.0,39.0,4.473321914672852,2324,,6,,,S,,,,,,,False,2025-02-13,27,tshirts
20260321_161308,2026-03-21T16:13:08,21831398,HRX by Hrithik Roshan Rapid-Dry Sports Training T-shirt,HRX by Hrithik Roshan,Tshirts,Women,799.0,327.0,59.1,4.389001846313477,4419,,257,,,M,,,,,,,False,2023-02-09,28,tshirts
20260321_161308,2026-03-21T16:13:08,35057131,DILLINGER Women's Acid Washed Oversized Puff Printed Tshirt,DILLINGER,Tshirts,Women,1399.0,643.0,54.0,4.3693695068359375,444,,16,,,XS,,,,,,,False,2025-06-26,29,tshirts
20260321_161308,2026-03-21T16:13:08,37776401,H&M Layered-Look T-Shirt,H&M,Tshirts,Women,499.0,369.0,26.1,4.210596084594727,755,,52,,,XXS,,,,,,,False,2025-11-06,30,tshirts
20260321_161308,2026-03-21T16:13:08,40656256,CULT Round Neck T-shirt,CULT,Tshirts,Women,999.0,499.0,50.1,4.75,8,,8,,,L,,,,,,,False,2026-03-12,31,tshirts
20260321_161308,2026-03-21T16:13:08,24110436,The Roadster Life Co. Striped Slim Fit Round Neck T-shirt,Roadster,Tshirts,Women,1099.0,296.0,73.1,4.236321449279785,859,,5,,,XXL,,,,,,,False,2023-12-14,32,tshirts
20260321_161308,2026-03-21T16:13:08,36573316,FIONAA TRENDZ Kids Black Tom & Jerry Printed Pure Cotton T-shirt,FIONAA TRENDZ,Tshirts,Unisex Kids,699.0,348.0,50.2,4.455445766448975,202,,164,,,6-7Y,,,,,,,False,2025-08-21,33,tshirts
20260321_161308,2026-03-21T16:13:08,13980360,Nap Chief Kids Unisex Reversible Black Harry Potter Sequinned Round Neck Cotton T-shirt,Nap Chief,Tshirts,Unisex Kids,990.0,520.0,47.5,4.6053056716918945,1847,,101,,,13-14Y,,,,,,,False,2021-03-25,34,tshirts
20260321_161308,2026-03-21T16:13:08,39010355,H&M Cotton T-Shirt,H&M,Tshirts,Women,699.0,699.0,0.0,4.647398948669434,173,,1460,,,S,,,,,,,False,2025-12-25,35,tshirts
20260321_161308,2026-03-21T16:13:08,35469309,KEESOR Girls Printed Cotton Tshirt,KEESOR,Tshirts,Girls,499.0,164.0,67.1,4.529972553253174,734,,29,,,5-6Y,,,,,,,False,2025-07-03,36,tshirts
20260321_161308,2026-03-21T16:13:08,13124922,Van Heusen Women Antibacterial Round Neck T-Shirt,Van Heusen,Lounge Tshirts,Women,919.0,753.0,18.1,4.488636493682861,176,,4,,,M,,,,,,,False,2021-11-25,37,tshirts
20260321_161308,2026-03-21T16:13:08,33178895,IN Love Women Printed Plus Size Cotton Longline Lounge Tshirts,IN Love,Lounge Tshirts,Women,1499.0,779.0,48.0,4.473684310913086,95,,2,,,3XL,,,,,,,False,2025-03-13,38,tshirts
20260321_161308,2026-03-21T16:13:08,32634483,CORSICA Women Bio Finish Graphic Printed Round Neck Cotton Oversized T-shirt,CORSICA,Tshirts,Women,1499.0,297.0,80.2,4.200943470001221,1060,,4968,,,XXL,,,,,,,False,2025-01-30,39,tshirts
20260321_161308,2026-03-21T16:13:08,25992760,Fabflee Women Graphic Printed Drop-Shoulder Sleeves Cotton Oversized T-Shirt,Fabflee,Tshirts,Women,1599.0,299.0,81.3,4.290910720825195,12069,,833,,,M,,,,,,,False,2023-11-16,40,tshirts
20260321_161308,2026-03-21T16:13:08,26852160,HIGHLANDER Floral Printed Slim Fit T-shirt,HIGHLANDER,Tshirts,Unisex,1249.0,249.0,80.1,3.799999952316284,40,,1,,,XL,,,,,,,False,2024-01-04,41,tshirts
20260321_161308,2026-03-21T16:13:08,39916460,H&M Motif-Detail T-shirt,H&M,Tshirts,Girls,699.0,699.0,0.0,0.0,0,,86,,,4-6Y,,,,,,,False,2026-02-05,42,tshirts
20260321_161308,2026-03-21T16:13:08,36743810,Dreamz by Pantaloons Women Pure Cotton Printed Lounge Tshirts,Dreamz by Pantaloons,Lounge Tshirts,Women,399.0,399.0,0.0,4.714285850524902,28,,23,,,XL,,,,,,,False,2025-08-28,43,tshirts
20260321_161308,2026-03-21T16:13:08,39272402,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,719.0,10.0,4.2727274894714355,66,,24,,,XXL,,,,,,,False,2026-01-08,44,tshirts
20260321_161308,2026-03-21T16:13:08,30817782,DILLINGER Printed Oversized Pure Cotton T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.498059272766113,1546,,30,,,XS,,,,,,,False,2024-09-05,45,tshirts
20260321_161308,2026-03-21T16:13:08,40053123,H&M Printed Cotton T-Shirt,H&M,Tshirts,Boys,399.0,359.0,10.0,4.530303001403809,132,,218,,,14-15Y,,,,,,,False,2026-02-12,46,tshirts
20260321_161308,2026-03-21T16:13:08,35038126,Van Heusen Women Cotton Solid Relax Fit Lounge T Shirt,Van Heusen,Lounge Tshirts,Women,499.0,499.0,0.0,4.295487403869629,687,,41,,,M,,,,,,,False,2025-06-12,47,tshirts
20260321_161308,2026-03-21T16:13:08,38635231,H&M Cotton T-shirt,H&M,Tshirts,Women,499.0,499.0,0.0,4.606451511383057,155,,309,,,XL,,,,,,,False,2025-12-11,48,tshirts
20260321_161308,2026-03-21T16:13:08,35148182,DAMN GUD DG Black Cotton Tshirts,DAMN GUD DG,Tshirts,Unisex Kids,1000.0,499.0,50.1,4.151324272155762,793,,354,,,4-5Y,,,,,,,False,2025-06-26,49,tshirts
20260321_161308,2026-03-21T16:13:08,39664169,H&M Motif-Detail T-Shirt,H&M,Tshirts,Girls,699.0,629.0,10.0,4.625,16,,10,,,6-8Y,,,,,,,False,2026-01-29,50,tshirts
20260321_161318,2026-03-21T16:13:18,29553912,HRX by Hrithik Roshan Unisex Back To School Shoes,HRX by Hrithik Roshan,Casual Shoes,Unisex,3699.0,999.0,73.0,4.23036003112793,2444,496,30,553,"{""3"": 30, ""4"": 1, ""5"": 18, ""6"": 56, ""7"": 149, ""8"": 139, ""9"": 88, ""10"": 40, ""11"": 32}",UK11,,False,0,0,0,163,False,2024-05-16,1,sneakers
20260321_161318,2026-03-21T16:13:18,32455978,ONYC Unisex Kids Fashion,ONYC,Casual Shoes,Unisex Kids,899.0,494.0,45.1,4.6114959716796875,1444,268,44,3548,"{""9-12M"": 955, ""12-15M"": 0, ""15-18M"": 504, ""18-24M"": 233, ""2-2.5Y"": 633, ""2.5-3Y"": 172, ""3-3.5Y"": 44, ""3.5-4Y"": 351, ""4-4.5Y"": 656}",3-3.5Y,12-15M,False,0,0,0,66,False,2025-01-23,2,sneakers
20260321_161318,2026-03-21T16:13:18,33987430,U.S. Polo Assn. Men Colourblocked Sneakers,U.S. Polo Assn.,Casual Shoes,Men,3299.0,1550.0,53.0,4.383508682250977,12928,2688,753,10612,"{""6"": 647, ""7"": 971, ""8"": 2368, ""9"": 2940, ""10"": 2298, ""11"": 1388}",UK7,,False,0,0,0,605,False,2025-05-15,3,sneakers
20260321_161318,2026-03-21T16:13:18,40138328,Pantaloons Junior Girls Colourblocked PU Sneakers,Pantaloons Junior,Casual Shoes,Girls,799.0,799.0,0.0,4.199999809265137,5,2,57,458,"{""3-3.5Y"": 57, ""3.5-4Y"": 77, ""4-4.5Y"": 108, ""4.5-5Y"": 88, ""5-5.5Y"": 76, ""5.5-6Y"": 52}",3-3.5Y,,False,0,0,0,0,False,2026-02-12,4,sneakers
20260321_161318,2026-03-21T16:13:18,39233033,HOOH Now Comfort in Fashion Girls Elsa Printed Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,455.0,65.0,4.342696666717529,178,31,926,13077,"{""0-3M"": 993, ""3-6M"": 992, ""6-12M"": 969, ""12-18M"": 926, ""18-24M"": 943, ""2-2.5Y"": 951, ""2.5-3Y"": 936, ""3-3.5Y"": 934, ""3.5-4Y"": 904, ""4-4.5Y"": 0, ""4.5-5Y"": 0, ""5-5.5Y"": 0, ""5.5-6Y"": 0, ""6-6.5Y"": 933, ""6.5-7Y"": 923, ""7-8Y"": 875, ""8-9Y"": 899, ""9-10Y"": 899}",12-18M,"4-4.5Y,4.5-5Y,5-5.5Y,5.5-6Y",False,0,0,0,57,False,2026-01-01,5,sneakers
20260321_161318,2026-03-21T16:13:18,35215287,Crazyly LACOSET Girls Colourblocked Velcro Sneakers,Crazyly,Casual Shoes,Girls,1799.0,429.0,76.2,4.471231937408447,3563,674,841,9186,"{""15-18M"": 0, ""18-24M"": 848, ""2-2.5Y"": 867, ""2.5-3Y"": 988, ""3-3.5Y"": 898, ""3.5-4Y"": 871, ""4-4.5Y"": 883, ""4.5-5Y"": 841, ""5-6Y"": 986, ""6-7Y"": 395, ""7-8Y"": 790, ""8-9Y"": 819}",4.5-5Y,15-18M,False,0,0,0,88,False,2025-06-26,6,sneakers
20260321_161318,2026-03-21T16:13:18,34980422,Crazyly Boys Colourblocked Sneakers With Velcro,Crazyly,Casual Shoes,Boys,1799.0,429.0,76.2,4.470687389373779,3565,674,788,9448,"{""15-18M"": 0, ""18-24M"": 985, ""2-2.5Y"": 789, ""2.5-3Y"": 986, ""3-3.5Y"": 788, ""3.5-4Y"": 753, ""4-4.5Y"": 813, ""4.5-5Y"": 818, ""5-6Y"": 979, ""6-7Y"": 982, ""7-8Y"": 790, ""8-9Y"": 765}",3-3.5Y,15-18M,False,0,0,0,100,False,2025-06-19,7,sneakers
20260321_161318,2026-03-21T16:13:18,39078573,HOOH Now Comfort in Fashion Girls Frozen Printed Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,459.0,64.7,4.269103050231934,301,36,884,13229,"{""12-18M"": 987, ""18-24M"": 971, ""2-2.5Y"": 970, ""2.5-3Y"": 952, ""3-3.5Y"": 939, ""3.5-4Y"": 921, ""4-4.5Y"": 927, ""4.5-5Y"": 892, ""5-5.5Y"": 890, ""5.5-6Y"": 865, ""6-6.5Y"": 884, ""6.5-7Y"": 828, ""7-8Y"": 755, ""8-9Y"": 775, ""9-10Y"": 673}",6-6.5Y,,False,0,0,0,81,False,2025-12-25,8,sneakers
20260321_161318,2026-03-21T16:13:18,32064729,HRX by Hrithik Roshan Unisex Round Toe Lace-Ups Sneakers,HRX by Hrithik Roshan,Casual Shoes,Unisex,3399.0,999.0,70.6,4.292834758758545,321,72,22,147,"{""3"": 9, ""4"": 8, ""5"": 22, ""6"": 19, ""7"": 32, ""8"": 18, ""9"": 14, ""10"": 10, ""11"": 15}",UK5,,False,0,0,0,52,False,2024-12-26,9,sneakers
20260321_161318,2026-03-21T16:13:18,40138324,Pantaloons Junior Girls Colourblocked PU Sneakers,Pantaloons Junior,Casual Shoes,Girls,999.0,999.0,0.0,0.0,0,0,29,247,"{""6-6.5Y"": 74, ""6.5-7Y"": 34, ""7-8Y"": 40, ""8-9Y"": 23, ""9-10Y"": 29, ""10-11Y"": 47}",9-10Y,,False,0,0,0,0,False,2026-02-12,10,sneakers
20260321_161318,2026-03-21T16:13:18,39078571,HOOH Now Comfort in Fashion Girls Elsa Printed Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,459.0,64.7,4.264214038848877,299,36,962,14079,"{""12-18M"": 991, ""18-24M"": 987, ""2-2.5Y"": 986, ""2.5-3Y"": 974, ""3-3.5Y"": 971, ""3.5-4Y"": 962, ""4-4.5Y"": 953, ""4.5-5Y"": 949, ""5-5.5Y"": 959, ""5.5-6Y"": 927, ""6-6.5Y"": 946, ""6.5-7Y"": 914, ""7-8Y"": 865, ""8-9Y"": 865, ""9-10Y"": 830}",3.5-4Y,,False,0,0,0,57,False,2025-12-25,11,sneakers
20260321_161318,2026-03-21T16:13:18,21766804,Puma Smashic Women Comfort Casual Sneakers,Puma,Casual Shoes,Women,4499.0,1799.0,60.0,4.393539905548096,15541,2760,5152,20270,"{""3"": 1481, ""4"": 3383, ""5"": 5152, ""6"": 5461, ""7"": 4258, ""8"": 535}",UK5,,False,0,0,0,238,False,2023-01-26,12,sneakers
20260321_161318,2026-03-21T16:13:18,34982326,Crazyly Seltos Boys Round Toe Sneakers,Crazyly,Casual Shoes,Boys,1799.0,453.0,74.8,4.291719913482666,785,157,837,11796,"{""18-24M"": 964, ""2-2.5Y"": 974, ""2.5-3Y"": 954, ""3-3.5Y"": 957, ""3.5-4Y"": 940, ""4-4.5Y"": 934, ""4.5-5Y"": 907, ""5-6Y"": 855, ""6-7Y"": 838, ""7-8Y"": 837, ""8-9Y"": 878, ""9-10Y"": 894, ""10-11Y"": 864}",7-8Y,,False,0,0,0,0,False,2025-06-12,13,sneakers
20260321_161318,2026-03-21T16:13:18,35318526,max Girls Round Toe Velcro Sneaker,max,Casual Shoes,Girls,399.0,399.0,0.0,4.391396522521973,1418,276,342,1578,"{""3Y"": 151, ""3-3.5Y"": 248, ""3.5-4Y"": 272, ""4-5Y"": 296, ""5-5.5Y"": 269, ""5.5-6Y"": 342}",5.5-6Y,,False,0,0,0,56,False,2025-06-26,14,sneakers
